requirement_id,asset_class,generic_description_ja,quantity,quantity_unit,owning_beats,shot_ids,canonical_reference_ids,reference_count,representative_preview_shot_id,representative_preview_thumbnail,thumbnail_semantics_ja,thumbnail_lineage,thumbnail_reuse_label,creative_fit,reference_coverage,local_proxy_readiness,production_suitability_recommendation,provenance_evidence,live_source_check,license_evidence,publication_compatibility,identity_or_sensitive_content_risk,recommended_disposition,owner_decision,rationale,replacement_or_creation_brief,minimum_local_assembly_role,proposed_construction_method,blocking_for_offline_assembly
AR-ENV-01,environment,鐘のない天文台と空の鐘枠を、遠景・内部寄り・終幕回帰で再利用できる汎用セット。,1,reusable_set,1|6,shot-b01-01|shot-b01-02|shot-b01-03|shot-b06-03,ref-w1-b01-s01-kreiensen-station|ref-w1-b01-s01-harvard-observatory|ref-w1-b01-s02-wood-joints|ref-w1-b01-s02-beam-junction|ref-w1-b01-s03-belfry-interior-art|ref-w1-b01-s03-noon-mark,6,shot-b01-01,../private-previsualization-timeline/requirement-thumbnails/AR-ENV-01.jpg,鐘のない天文台と空の鐘枠,annotated_derivative_of_canonical_previsualization_frame,,strong_reference,complete,unsuitable,replace_before_production,complete_stored_metadata,unavailable,explicit_reuse_terms_recorded,unreviewed,real_institution|contextual_misattribution,source_replacement_candidate,unselected,実在施設・人物・実記録または文脈誤認のriskを含むため、現参照は構図確認に留め置換候補を分離する。,鐘のない天文台と空の鐘枠を、遠景・内部寄り・終幕回帰で再利用できる汎用セット。を、特定可能な人物・施設・記録を含まない新規候補または中立placeholderとして後続laneで準備する。,newly_sourced_candidate,newly_sourced_candidate,true
AR-ENV-02,environment,半透明仕切りを含む中立的な制度空間。評議会場・台帳の影・制度候補面へ再利用する。,1,reusable_set,4|5,shot-b04-01|shot-b04-03|shot-b05-03,ref-b04-s01-conference-backs|ref-b04-s01-frosted-partition|ref-b04-s03-closed-meeting-room|ref-b04-shared-general-ledger|ref-b04-s02-card-catalogue,5,shot-b04-03,../private-previsualization-timeline/requirement-thumbnails/AR-ENV-02.jpg,半透明仕切りを含む中立的な制度空間,annotated_derivative_of_canonical_previsualization_frame,,strong_reference,complete,unsuitable,replace_before_production,complete_stored_metadata,unavailable,ambiguous,unreviewed,real_institution|contextual_misattribution,source_replacement_candidate,unselected,実在施設・人物・実記録または文脈誤認のriskを含むため、現参照は構図確認に留め置換候補を分離する。,半透明仕切りを含む中立的な制度空間。評議会場・台帳の影・制度候補面へ再利用する。を、特定可能な人物・施設・記録を含まない新規候補または中立placeholderとして後続laneで準備する。,newly_sourced_candidate,newly_sourced_candidate,true
AR-CHAR-01,character_silhouette,人物を特定しない手元insert。時計修理と台帳を開く動作で共有する。,1,insert_set,2|3,shot-b02-01|shot-b03-01,ref-b02-s01-precision-handwork|ref-b02-s01-watch-repair-workbench|ref-w1-b03-s01-page-turning|ref-w1-b03-s01-book-in-hand,4,shot-b03-01,../private-previsualization-timeline/requirement-thumbnails/AR-CHAR-01.jpg,顔を特定しない台帳を開く手元,annotated_derivative_of_canonical_previsualization_frame,,usable_reference,complete,unsuitable,replace_before_production,complete_stored_metadata,unavailable,explicit_reuse_terms_recorded,unreviewed,identifiable_person,source_replacement_candidate,unselected,実在施設・人物・実記録または文脈誤認のriskを含むため、現参照は構図確認に留め置換候補を分離する。,人物を特定しない手元insert。時計修理と台帳を開く動作で共有する。を、特定可能な人物・施設・記録を含まない新規候補または中立placeholderとして後続laneで準備する。,neutral_placeholder,neutral_placeholder,true
AR-CHAR-02,character_silhouette,匿名の評議会構成員を示す中立的なシルエット。,3,silhouettes,4,shot-b04-01,ref-b04-s01-conference-backs|ref-b04-s01-frosted-partition,2,shot-b04-01,../private-previsualization-timeline/requirement-thumbnails/AR-CHAR-02.jpg,匿名の評議会シルエット,annotated_derivative_of_canonical_previsualization_frame,,usable_reference,partial,requires_original_or_placeholder,create_original,complete_stored_metadata,unavailable,explicit_reuse_terms_recorded,unreviewed,identifiable_person,create_deterministic_original,unselected,架空の記録・表示・抽象情報を同じ規則で再現し、実物参照による誤認を避けるため決定的な新規作成を推奨する。,匿名の評議会構成員を示す中立的なシルエット。を、固定した寸法・配色・文字規則から再生成できるローカルgraphicとして後続laneで設計する。,deterministic_original_graphic,deterministic_original_graphic,true
AR-CHAR-03,character_silhouette,トーマの複数の運命候補を保持する未確定シルエット。,1,silhouette,5,shot-b05-01,ref-w2-b05-s01-horizon-silhouette|ref-w2-b05-fate-blank-card,2,shot-b05-01,../private-previsualization-timeline/requirement-thumbnails/AR-CHAR-03.jpg,トーマの未確定シルエットと四候補,annotated_derivative_of_canonical_previsualization_frame,,strong_reference,complete,requires_original_or_placeholder,create_original,complete_stored_metadata,confirmed,explicit_reuse_terms_recorded,unreviewed,identifiable_person,create_deterministic_original,unselected,架空の記録・表示・抽象情報を同じ規則で再現し、実物参照による誤認を避けるため決定的な新規作成を推奨する。,トーマの複数の運命候補を保持する未確定シルエット。を、固定した寸法・配色・文字規則から再生成できるローカルgraphicとして後続laneで設計する。,deterministic_original_graphic,deterministic_original_graphic,true
AR-PROP-01,prop,時計修理台と9:17の時計面を同じ造形系で使えるモジュール。,1,modular_set,2,shot-b02-01|shot-b02-03,ref-b02-s01-precision-handwork|ref-b02-s01-watch-repair-workbench|ref-b02-s03-vintage-watch-0915|ref-b02-s02-metal-butterfly-brooch|ref-b02-s03-brass-clock-dial,5,shot-b02-03,../private-previsualization-timeline/requirement-thumbnails/AR-PROP-01.jpg,時計面と9:17の時刻motif,annotated_derivative_of_canonical_previsualization_frame,,strong_reference,complete,requires_original_or_placeholder,create_original,complete_stored_metadata,unavailable,explicit_reuse_terms_recorded,unreviewed,trademark_or_logo,create_deterministic_original,unselected,架空の記録・表示・抽象情報を同じ規則で再現し、実物参照による誤認を避けるため決定的な新規作成を推奨する。,時計修理台と9:17の時計面を同じ造形系で使えるモジュール。を、固定した寸法・配色・文字規則から再生成できるローカルgraphicとして後続laneで設計する。,deterministic_original_graphic,deterministic_original_graphic,true
AR-PROP-02,prop,静止した真鍮の蛾。手掛かり、時計面、機能候補の三用途で再利用する。,1,prop,2|5,shot-b02-02|shot-b02-03|shot-b05-02,ref-b02-s02-aged-handwritten-letter|ref-b02-s02-metal-butterfly-brooch|ref-b02-s03-vintage-watch-0915|ref-b02-s03-brass-clock-dial|ref-w2-b05-s02-brass-plate,5,shot-b05-02,../private-previsualization-timeline/requirement-thumbnails/AR-PROP-02.jpg,静止した真鍮の蛾,annotated_derivative_of_canonical_previsualization_frame,,strong_reference,complete,owner_may_consider,candidate_for_future_review,complete_stored_metadata,confirmed,explicit_reuse_terms_recorded,unreviewed,contextual_misattribution,owner_may_consider_local_proxy,unselected,既存参照は構図上有用だが利用判断を伴うため、非公開proxyとして扱うかをOwner例外判断に残す。,静止した真鍮の蛾。手掛かり、時計面、機能候補の三用途で再利用する。はOwnerが許可した場合だけ非公開proxy候補として扱い、置換可能性を保つ。,owner_approved_local_proxy,owner_approved_local_proxy,true
AR-PROP-03,prop,トーマが残したとされる汎用メモ。,1,prop,2,shot-b02-02,ref-b02-s02-aged-handwritten-letter|ref-b02-s02-metal-butterfly-brooch,2,shot-b02-02,../private-previsualization-timeline/requirement-thumbnails/AR-PROP-03.jpg,手書きのメモ／written note,annotated_derivative_of_canonical_previsualization_frame,,usable_reference,complete,requires_original_or_placeholder,create_original,complete_stored_metadata,confirmed,explicit_reuse_terms_recorded,unreviewed,real_record|contextual_misattribution,create_deterministic_original,unselected,架空の記録・表示・抽象情報を同じ規則で再現し、実物参照による誤認を避けるため決定的な新規作成を推奨する。,トーマが残したとされる汎用メモ。を、固定した寸法・配色・文字規則から再生成できるローカルgraphicとして後続laneで設計する。,deterministic_original_graphic,deterministic_original_graphic,true
AR-DOC-01,document_graphic,架空の台帳、名前欄、『分』欄、未記入欄を持つ再利用可能な文書variant群。,1,variant_set,3|4|6,shot-b03-01|shot-b03-02|shot-b04-03|shot-b06-02,ref-w1-b03-s01-page-turning|ref-w1-b03-s01-book-in-hand|ref-w1-b03-s02-blank-book|ref-w1-b03-s02-ledger-geometry|ref-b04-s03-closed-meeting-room|ref-b04-shared-general-ledger|ref-w2-b06-s02-closed-book,7,shot-b03-02,../private-previsualization-timeline/requirement-thumbnails/AR-DOC-01.jpg,架空台帳の名前欄と『分』欄,annotated_derivative_of_canonical_previsualization_frame,,strong_reference,complete,requires_original_or_placeholder,create_original,complete_stored_metadata,unavailable,ambiguous,unreviewed,real_record|contextual_misattribution,create_deterministic_original,unselected,架空の記録・表示・抽象情報を同じ規則で再現し、実物参照による誤認を避けるため決定的な新規作成を推奨する。,架空の台帳、名前欄、『分』欄、未記入欄を持つ再利用可能な文書variant群。を、固定した寸法・配色・文字規則から再生成できるローカルgraphicとして後続laneで設計する。,deterministic_original_graphic,deterministic_original_graphic,true
AR-DOC-02,document_graphic,仮説、運命、機能、動機、HOLDを同じ重みで並べる図版システム。,1,graphic_system,4|5,shot-b04-02|shot-b05-01|shot-b05-02|shot-b05-03|shot-b05-04,ref-b04-s02-card-catalogue|ref-b04-s02-time-recorder|ref-b04-shared-general-ledger|ref-w2-b05-s01-horizon-silhouette|ref-w2-b05-fate-blank-card|ref-b02-s02-metal-butterfly-brooch|ref-w2-b05-s02-brass-plate|ref-b04-s03-closed-meeting-room,8,shot-b05-03,../private-previsualization-timeline/requirement-thumbnails/AR-DOC-02.jpg,同じ重みの候補図版システム,annotated_derivative_of_canonical_previsualization_frame,,usable_reference,partial,requires_original_or_placeholder,create_original,complete_stored_metadata,unavailable,ambiguous,unreviewed,real_institution|real_record|contextual_misattribution,create_deterministic_original,unselected,架空の記録・表示・抽象情報を同じ規則で再現し、実物参照による誤認を避けるため決定的な新規作成を推奨する。,仮説、運命、機能、動機、HOLDを同じ重みで並べる図版システム。を、固定した寸法・配色・文字規則から再生成できるローカルgraphicとして後続laneで設計する。,deterministic_original_graphic,deterministic_original_graphic,true
AR-ABS-01,abstract_graphic,名前の輪郭が薄れる感覚を示す抽象モーショングラフィック。,1,graphic,3,shot-b03-03,ref-w1-b03-s03-old-paper|ref-w1-b03-s03-ink-stains,2,shot-b03-03,../private-previsualization-timeline/requirement-thumbnails/AR-ABS-01.jpg,名前／文字輪郭が三段階で薄れる,annotated_derivative_of_canonical_previsualization_frame,,usable_reference,complete,requires_original_or_placeholder,create_original,complete_stored_metadata,confirmed,explicit_reuse_terms_recorded,unreviewed,real_record|contextual_misattribution,create_deterministic_original,unselected,架空の記録・表示・抽象情報を同じ規則で再現し、実物参照による誤認を避けるため決定的な新規作成を推奨する。,名前の輪郭が薄れる感覚を示す抽象モーショングラフィック。を、固定した寸法・配色・文字規則から再生成できるローカルgraphicとして後続laneで設計する。,deterministic_original_graphic,deterministic_original_graphic,true
AR-ABS-02,abstract_graphic,時間と名前を同じ重みで並べ、中央を未決定のまま空ける分割図版。,2,panels,6,shot-b06-01,ref-b02-s03-vintage-watch-0915|ref-w1-b03-s02-blank-book,2,shot-b06-01,../private-previsualization-timeline/requirement-thumbnails/AR-ABS-02.jpg,時間と名前を46:8:46で等分,annotated_derivative_of_canonical_previsualization_frame,,strong_reference,complete,requires_original_or_placeholder,create_original,complete_stored_metadata,confirmed,explicit_reuse_terms_recorded,unreviewed,real_record|trademark_or_logo|contextual_misattribution,create_deterministic_original,unselected,架空の記録・表示・抽象情報を同じ規則で再現し、実物参照による誤認を避けるため決定的な新規作成を推奨する。,時間と名前を同じ重みで並べ、中央を未決定のまま空ける分割図版。を、固定した寸法・配色・文字規則から再生成できるローカルgraphicとして後続laneで設計する。,deterministic_original_graphic,deterministic_original_graphic,true
AR-TYPE-01,typography,字幕と短いlabelを統一する日本語firstの文字システム。font自体は未選定。,1,type_system,1|3|4|5|6,shot-b01-03|shot-b03-02|shot-b04-02|shot-b04-03|shot-b05-04|shot-b06-01|shot-b06-03,ref-w1-b01-s03-belfry-interior-art|ref-w1-b01-s03-noon-mark|ref-w1-b03-s02-blank-book|ref-w1-b03-s02-ledger-geometry|ref-b04-s02-card-catalogue|ref-b04-s02-time-recorder|ref-b04-shared-general-ledger|ref-b04-s03-closed-meeting-room|ref-w2-b05-s01-horizon-silhouette|ref-b02-s02-metal-butterfly-brooch|ref-b02-s03-vintage-watch-0915|ref-w1-b01-s01-harvard-observatory|ref-w1-b01-s01-kreiensen-station,13,shot-b05-04,../private-previsualization-timeline/requirement-thumbnails/AR-TYPE-01.jpg,日本語firstの短いlabelとHOLD表示,annotated_derivative_of_canonical_previsualization_frame,,usable_reference,partial,requires_original_or_placeholder,create_original,complete_stored_metadata,unavailable,ambiguous,unreviewed,other,create_deterministic_original,unselected,架空の記録・表示・抽象情報を同じ規則で再現し、実物参照による誤認を避けるため決定的な新規作成を推奨する。,字幕と短いlabelを統一する日本語firstの文字システム。font自体は未選定。を、固定した寸法・配色・文字規則から再生成できるローカルgraphicとして後続laneで設計する。,deterministic_original_graphic,deterministic_original_graphic,true
AR-AUDIO-01,audio_cue,六幕それぞれの音設計位置を示すcue placeholder。音声fileや素材は含めない。,6,beat_cue_placeholders,1|2|3|4|5|6,shot-b01-01|shot-b01-02|shot-b01-03|shot-b02-01|shot-b02-02|shot-b02-03|shot-b03-01|shot-b03-02|shot-b03-03|shot-b04-01|shot-b04-02|shot-b04-03|shot-b05-01|shot-b05-02|shot-b05-03|shot-b05-04|shot-b06-01|shot-b06-02|shot-b06-03,ref-w1-b01-s01-kreiensen-station|ref-w1-b01-s01-harvard-observatory|ref-w1-b01-s02-wood-joints|ref-w1-b01-s02-beam-junction|ref-w1-b01-s03-belfry-interior-art|ref-w1-b01-s03-noon-mark|ref-b02-s01-precision-handwork|ref-b02-s01-watch-repair-workbench|ref-b02-s02-aged-handwritten-letter|ref-b02-s02-metal-butterfly-brooch|ref-b02-s03-vintage-watch-0915|ref-b02-s03-brass-clock-dial|ref-w1-b03-s01-page-turning|ref-w1-b03-s01-book-in-hand|ref-w1-b03-s02-blank-book|ref-w1-b03-s02-ledger-geometry|ref-w1-b03-s03-old-paper|ref-w1-b03-s03-ink-stains|ref-b04-s01-conference-backs|ref-b04-s01-frosted-partition|ref-b04-s02-card-catalogue|ref-b04-s02-time-recorder|ref-b04-shared-general-ledger|ref-b04-s03-closed-meeting-room|ref-w2-b05-s01-horizon-silhouette|ref-w2-b05-fate-blank-card|ref-w2-b05-s02-brass-plate|ref-w2-b06-s02-closed-book,28,shot-b01-03,../private-previsualization-timeline/requirement-thumbnails/AR-AUDIO-01.jpg,六幕のsilent cue位置。音声素材は含まない,annotated_derivative_of_canonical_previsualization_frame,,no_reference,absent,unsuitable,not_applicable,complete_stored_metadata,unavailable,ambiguous,unreviewed,none_observed,retain_reference_only,unselected,音素材は別laneで選定・校正するため、この計画では将来要件としてのみ保持する。,六幕それぞれの音設計位置を示すcue placeholder。音声fileや素材は含めない。は別承認のaudio laneで候補と無音時の扱いを定義する。,future_audio_lane,future_audio_lane,true
