canonical_reference_id,alias_ids,owning_source_artifact,source_package_path,local_path,local_source_path,sha256,used_by_shot_ids,mapped_requirement_ids,creator,source_title,source_page_url,original_media_url,license_name,license_url,original_dimensions,normalized_dimensions,retrieval_date,provenance_evidence,evidence_gap,license_evidence,live_source_check,live_source_readback_state,live_checked_at,live_check_note,live_license_check,license_live_checked_at,license_check_note,identity_or_sensitive_content_risk,stored_rights_flags,representative_only,selected_for_production,rights_cleared_claim
ref-b02-s01-precision-handwork,fff-beat2-composition-board-001:ref-b02-s01-precision-handwork,fff-beat2-composition-board-001,artifacts/beat2-composition-board,artifacts/beat2-composition-board/composition-assets/ref-b02-s01-precision-handwork.jpg,artifacts/beat2-composition-board/composition-assets/ref-b02-s01-precision-handwork.jpg,42e1d3963eeab95679858889f85c4b60e348efaaa36ef4ca1c6fd103768b4a33,shot-b02-01,AR-AUDIO-01|AR-CHAR-01|AR-PROP-01,giridibyaranjan,Watchmaking skills.jpg,https://commons.wikimedia.org/wiki/File:Watchmaking_skills.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Watchmaking_skills.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,3024x4032,1200x1600,2026-07-14,complete_stored_metadata,false,explicit_reuse_terms_recorded,confirmed,page_readable,2026-07-20T15:28:14+09:00,Recorded source page returned an ordinary HTTPS readback; title/creator/license visibility was compared with stored metadata.,confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,identifiable_person,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-b02-s01-watch-repair-workbench,fff-beat2-composition-board-001:ref-b02-s01-watch-repair-workbench,fff-beat2-composition-board-001,artifacts/beat2-composition-board,artifacts/beat2-composition-board/composition-assets/ref-b02-s01-watch-repair-workbench.jpg,artifacts/beat2-composition-board/composition-assets/ref-b02-s01-watch-repair-workbench.jpg,207933084e53ee608c9d4f29de795ab2915f3d4cddc4612d99b1db452cf3e258,shot-b02-01,AR-AUDIO-01|AR-CHAR-01|AR-PROP-01,SerChevalerie,Traditional watch repairer at work in Goa.jpg,https://commons.wikimedia.org/wiki/File:Traditional_watch_repairer_at_work_in_Goa.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Traditional_watch_repairer_at_work_in_Goa.jpg,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,4032x2268,1600x900,2026-07-14,complete_stored_metadata,false,explicit_reuse_terms_recorded,unavailable,page_unavailable,2026-07-20T15:28:14+09:00,"Recorded source page could not be read through the bounded check because of rate limiting, URL policy, or source-site access constraints; stored metadata remains separate evidence.",confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,identifiable_person,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-b02-s02-aged-handwritten-letter,fff-beat2-composition-board-001:ref-b02-s02-aged-handwritten-letter,fff-beat2-composition-board-001,artifacts/beat2-composition-board,artifacts/beat2-composition-board/composition-assets/ref-b02-s02-aged-handwritten-letter.jpg,artifacts/beat2-composition-board/composition-assets/ref-b02-s02-aged-handwritten-letter.jpg,6b98a5fa94c40acac31e266decd75d9ae31f3b7cf5a59802bcf7408abbd7671b,shot-b02-02,AR-AUDIO-01|AR-PROP-02|AR-PROP-03,Lainey Powell,Old Letter.jpg,https://commons.wikimedia.org/wiki/File:Old_Letter.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Old_Letter.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,1597x2437,1049x1600,2026-07-14,complete_stored_metadata,false,explicit_reuse_terms_recorded,confirmed,page_readable,2026-07-20T15:28:14+09:00,Recorded source page returned an ordinary HTTPS readback; title/creator/license visibility was compared with stored metadata.,confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,real_record|contextual_misattribution,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-b02-s02-metal-butterfly-brooch,fff-beat2-composition-board-001:ref-b02-s02-metal-butterfly-brooch|fff-composition-expansion-wave2-001:ref-b02-s02-metal-butterfly-brooch,fff-beat2-composition-board-001,artifacts/beat2-composition-board,artifacts/beat2-composition-board/composition-assets/ref-b02-s02-metal-butterfly-brooch.jpg,artifacts/beat2-composition-board/composition-assets/ref-b02-s02-metal-butterfly-brooch.jpg,ac4df2e88ff0834f6a6695b3fa72737d75e5dbec78a177c9056c3b8a0e3376b9,shot-b02-02|shot-b02-03|shot-b05-02|shot-b05-04,AR-AUDIO-01|AR-DOC-02|AR-PROP-01|AR-PROP-02|AR-PROP-03|AR-TYPE-01,Jane023 (photographer/uploader; own work),Butterfly brooch.jpg,https://commons.wikimedia.org/wiki/File:Butterfly_brooch.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e2/Butterfly_brooch.jpg,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,4032x3024,1600x1200,2026-07-14,complete_stored_metadata,false,explicit_reuse_terms_recorded,confirmed,page_readable,2026-07-20T15:28:14+09:00,Recorded source page returned an ordinary HTTPS readback; title/creator/license visibility was compared with stored metadata.,confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,none_observed,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-b02-s03-brass-clock-dial,fff-beat2-composition-board-001:ref-b02-s03-brass-clock-dial,fff-beat2-composition-board-001,artifacts/beat2-composition-board,artifacts/beat2-composition-board/composition-assets/ref-b02-s03-brass-clock-dial.jpg,artifacts/beat2-composition-board/composition-assets/ref-b02-s03-brass-clock-dial.jpg,acc9849b02b769616e7218aba0d2740cabe6030ee1e7178f9d012bffa21d45a3,shot-b02-03,AR-AUDIO-01|AR-PROP-01|AR-PROP-02,Brooke Campbell / bcampbell,Antique clock dial (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Antique_clock_dial_(Unsplash).jpg,https://upload.wikimedia.org/wikipedia/commons/0/00/Antique_clock_dial_%28Unsplash%29.jpg,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,3648x5472,1067x1600,2026-07-14,complete_stored_metadata,false,explicit_reuse_terms_recorded,confirmed,page_readable,2026-07-20T15:28:14+09:00,Recorded source page returned an ordinary HTTPS readback; title/creator/license visibility was compared with stored metadata.,confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,none_observed,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-b02-s03-vintage-watch-0915,fff-beat2-composition-board-001:ref-b02-s03-vintage-watch-0915|fff-composition-expansion-wave2-001:ref-b02-s03-vintage-watch-0915,fff-beat2-composition-board-001,artifacts/beat2-composition-board,artifacts/beat2-composition-board/composition-assets/ref-b02-s03-vintage-watch-0915.jpg,artifacts/beat2-composition-board/composition-assets/ref-b02-s03-vintage-watch-0915.jpg,80abb1498c2e38ad6f5e0c3dc4b44b0b61729b5db4e68db0ddc050c70c7a2082,shot-b02-03|shot-b06-01,AR-ABS-02|AR-AUDIO-01|AR-PROP-01|AR-PROP-02|AR-TYPE-01,Joe Haupt,Vintage Bulova Men's Swiss-Made Manual-Wind Wrist Watch (8505636506).jpg,https://commons.wikimedia.org/wiki/File:Vintage_Bulova_Men%27s_Swiss-Made_Manual-Wind_Wrist_Watch_(8505636506).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Vintage_Bulova_Men%27s_Swiss-Made_Manual-Wind_Wrist_Watch_%288505636506%29.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,4608x3456,1600x1200,2026-07-14,complete_stored_metadata,false,explicit_reuse_terms_recorded,confirmed,page_readable,2026-07-20T15:28:14+09:00,Recorded source page returned an ordinary HTTPS readback; title/creator/license visibility was compared with stored metadata.,confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,trademark_or_logo,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-b04-s01-conference-backs,fff-beat4-composition-counterexample-001:ref-b04-s01-conference-backs,fff-beat4-composition-counterexample-001,artifacts/beat4-composition-counterexample,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s01-conference-backs.jpg,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s01-conference-backs.jpg,79e17d1982c6d217063d34d1479606f8a586c6e4b8b001167e3647ce2d4b1962,shot-b04-01,AR-AUDIO-01|AR-CHAR-02|AR-ENV-02,Manuel Schneider,Wikimedia Chapters Conference 089,https://commons.wikimedia.org/wiki/File:Wikimedia_Chapters_Conference_089.JPG,https://upload.wikimedia.org/wikipedia/commons/b/b0/Wikimedia_Chapters_Conference_089.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,2816x2112,960x540,2026-07-19,complete_stored_metadata,false,explicit_reuse_terms_recorded,unavailable,page_unavailable,2026-07-20T15:28:14+09:00,"Recorded source page could not be read through the bounded check because of rate limiting, URL policy, or source-site access constraints; stored metadata remains separate evidence.",confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,identifiable_person|real_institution|contextual_misattribution,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-b04-s01-frosted-partition,fff-beat4-composition-counterexample-001:ref-b04-s01-frosted-partition,fff-beat4-composition-counterexample-001,artifacts/beat4-composition-counterexample,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s01-frosted-partition.jpg,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s01-frosted-partition.jpg,f55ecaa635f09cd4b203fc97775ef049f42bb3a0004a24ab1c2385438685fffb,shot-b04-01,AR-AUDIO-01|AR-CHAR-02|AR-ENV-02,Timo Newton-Syms,Frosted Glass,https://www.flickr.com/photos/timo_w2s/32996257861/,https://upload.wikimedia.org/wikipedia/commons/b/ba/Frosted_Glass_%2832996257861%29.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,3776x2520,1024x576,2026-07-19,complete_stored_metadata,false,explicit_reuse_terms_recorded,unavailable,page_unavailable,2026-07-20T15:28:14+09:00,"Recorded source page could not be read through the bounded check because of rate limiting, URL policy, or source-site access constraints; stored metadata remains separate evidence.",confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,none_observed,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-b04-s02-card-catalogue,fff-beat4-composition-counterexample-001:ref-b04-s02-card-catalogue|fff-composition-expansion-wave2-001:ref-b04-s02-card-catalogue,fff-beat4-composition-counterexample-001,artifacts/beat4-composition-counterexample,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s02-card-catalogue.jpg,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s02-card-catalogue.jpg,23aaf60edcd0880b63e5c98eed29a2ea46fddf0c5e3e8ab17c3e948cfcae5822,shot-b04-02|shot-b05-03,AR-AUDIO-01|AR-DOC-02|AR-ENV-02|AR-TYPE-01,Carolina Prysyazhnyuk,Archive / Card catalogue drawers,https://www.flickr.com/photos/129657698@N02/16159019626/,https://upload.wikimedia.org/wikipedia/commons/d/da/Card_catalogue_drawers.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,3872x2592,1022x574,2026-07-19,complete_stored_metadata,false,explicit_reuse_terms_recorded,unavailable,page_unavailable,2026-07-20T15:28:14+09:00,"Recorded source page could not be read through the bounded check because of rate limiting, URL policy, or source-site access constraints; stored metadata remains separate evidence.",confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,none_observed,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-b04-s02-time-recorder,fff-beat4-composition-counterexample-001:ref-b04-s02-time-recorder,fff-beat4-composition-counterexample-001,artifacts/beat4-composition-counterexample,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s02-time-recorder.jpg,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s02-time-recorder.jpg,ea2732ff8205541eed60050129020ba94c6202d868d77eca90972d6792411127,shot-b04-02,AR-AUDIO-01|AR-DOC-02|AR-TYPE-01,Loozrboy,IBM / Antique time clock at Redpath,https://www.flickr.com/photos/30624156@N00/4664852355/,https://upload.wikimedia.org/wikipedia/commons/c/c8/Antique_time_clock_at_Redpath.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,2500x1875,1024x576,2026-07-19,complete_stored_metadata,false,explicit_reuse_terms_recorded,unavailable,page_unavailable,2026-07-20T15:28:14+09:00,"Recorded source page could not be read through the bounded check because of rate limiting, URL policy, or source-site access constraints; stored metadata remains separate evidence.",confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,trademark_or_logo|contextual_misattribution,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-b04-s03-closed-meeting-room,fff-beat4-composition-counterexample-001:ref-b04-s03-closed-meeting-room|fff-composition-expansion-wave2-001:ref-b04-s03-closed-meeting-room,fff-beat4-composition-counterexample-001,artifacts/beat4-composition-counterexample,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s03-closed-meeting-room.jpg,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s03-closed-meeting-room.jpg,e6f06540dba924ccd3c5aaa38fa3f676f489335762b61dd7ecbcca69da196ca9,shot-b04-03|shot-b05-03|shot-b05-04,AR-AUDIO-01|AR-DOC-01|AR-DOC-02|AR-ENV-02|AR-TYPE-01,Het Nieuwe Instituut - Architecture Collection; photographer unknown,Interieur vergaderzaal / Meeting Room Interior,https://www.flickr.com/photos/nai_collection/5260603510/,https://upload.wikimedia.org/wikipedia/commons/c/c1/Interieur_vergaderzaal_-_Meeting_Room_Interior_%285260603510%29.jpg,No known copyright restrictions,https://www.flickr.com/commons/usage/,1280x998,1022x574,2026-07-19,complete_stored_metadata,false,ambiguous,unavailable,page_unavailable,2026-07-20T15:28:14+09:00,"Recorded source page could not be read through the bounded check because of rate limiting, URL policy, or source-site access constraints; stored metadata remains separate evidence.",confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,real_institution|contextual_misattribution,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-b04-shared-general-ledger,fff-beat4-composition-counterexample-001:ref-b04-shared-general-ledger,fff-beat4-composition-counterexample-001,artifacts/beat4-composition-counterexample,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-shared-general-ledger.jpg,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-shared-general-ledger.jpg,74d83e8fbad303bf4a08c86e72c02746c678a95e56c0f69814c6c853dd7feaab,shot-b04-02|shot-b04-03,AR-AUDIO-01|AR-DOC-01|AR-DOC-02|AR-ENV-02|AR-TYPE-01,Plantijnse Drukkerij,"General Ledger, 1600–1608",https://www.loc.gov/item/2021667934/,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:11:73:3:wdl_11733:MPM_AR-PN-0127_00004/full/pct:100/0/default.jpg,No known copyright or other restrictions; free to use and reuse,https://www.loc.gov/item/2021667934/#rights-and-access,3195x4763,1073x1600,2026-07-19,complete_stored_metadata,false,ambiguous,confirmed,page_readable,2026-07-20T15:28:14+09:00,Recorded source page returned an ordinary HTTPS readback; title/creator/license visibility was compared with stored metadata.,confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,real_record|contextual_misattribution,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
ref-w1-b01-s01-harvard-observatory,fff-composition-expansion-wave1-001:ref-w1-b01-s01-harvard-observatory|fff-composition-expansion-wave2-001:ref-w1-b01-s01-harvard-observatory,fff-composition-expansion-wave1-001,artifacts/composition-expansion-wave1,artifacts/composition-expansion-wave1/composition-assets/ref-w1-b01-s01-harvard-observatory.jpg,artifacts/composition-expansion-wave1/composition-assets/ref-w1-b01-s01-harvard-observatory.jpg,6e1376fa2b4fa4bfffae778f1e86364b1c3baf5fe2925cd242337d76f7b33e84,shot-b01-01|shot-b06-03,AR-AUDIO-01|AR-ENV-01|AR-TYPE-01,Daderot,"Sears Tower, Harvard Observatory","https://commons.wikimedia.org/wiki/File:Sears_Tower-Harvard_Observatory_-_60_Garden_Street,_Cambridge,_MA_-_IMG_4028.JPG",https://upload.wikimedia.org/wikipedia/commons/0/08/Sears_Tower-Harvard_Observatory_-_60_Garden_Street%2C_Cambridge%2C_MA_-_IMG_4028.JPG,Public domain (author dedication),https://commons.wikimedia.org/wiki/Template:PD-self,2448x3264,1200x1600,2026-07-19,complete_stored_metadata,false,public_domain_statement_recorded,confirmed,page_readable,2026-07-20T15:28:14+09:00,Recorded source page returned an ordinary HTTPS readback; title/creator/license visibility was compared with stored metadata.,confirmed,2026-07-20T15:28:14+09:00,Recorded license or rights-statement URL returned an ordinary HTTPS readback; this records visibility only and is not a use decision.,real_institution|contextual_misattribution,"{""reference_only"":true,""selected_for_production"":false,""rights_cleared_claim"":false,""ai_generated"":false}",true,false,false
