sequence,shot_id,beat_number,beat_id,start_time,end_time,duration_seconds,title_ja,screen_ja,intent_ja,scale,motion,transition,palette_role,camera_ja,success_ja,do_not_show_ja,source_artifact_id,source_model_path,source_model_sha256,source_composition_class,source_main_visual,source_supporting_visuals,source_reference_ids,source_reference_hashes,source_truth_boundary,lineage_phrase_ja
1,shot-b01-01,1,bridge-storyboard-beat-1-bellless-tower,00:00,00:07,7,駅から塔へ,駅屋根、レール際、街路端、アーチ状フレームを前景に置き、その奥に駅の建築、さらに古い天文台塔と空の鐘枠を関係づける。,矛盾の舞台を置く,wide,slow_push,hard_cut,midnight_base,wide / slow_push,最初に空の鐘枠、次に塔と駅の関係が読める。,鐘、発光、作動機械、原因を示す人物、鳴動の説明を描かない。,fff-composition-expansion-wave1-001,artifacts/composition-expansion-wave1/composition-expansion-wave1.json,02bf53c039611f2faa2712fa69c8ef6885d1fcf2da408283be0b04aba7c122a7,station_tower_establishing_depth,ref-w1-b01-s01-kreiensen-station,"[""ref-w1-b01-s01-harvard-observatory""]","[""ref-w1-b01-s01-kreiensen-station"",""ref-w1-b01-s01-harvard-observatory""]","[""49b3136c701d7e149194e74cac2a1c5c6dc688d6502340fce4915cec656da134"",""6e1376fa2b4fa4bfffae778f1e86364b1c3baf5fe2925cd242337d76f7b33e84""]",鐘、発光、作動機械、原因を示す人物、鳴動の説明を描かない。,この幕の参照を後続の反復へ渡す。
2,shot-b01-02,1,bridge-storyboard-beat-1-bellless-tower,00:07,00:14,7,空いた取付点,梁と柱の接合、古い木肌、空いた取付面、金具の痕跡だけを近接で組み、鐘そのものや撤去場面を示さない。,鐘がないことを確認する,close,locked,short_dissolve,paper_neutral,close / locked,空いた取付点が最初に読め、次に経年と摩耗だけが残る。,撤去された鐘、撤去工具、撤去理由の証明、winter curfewの再現を描かない。,fff-composition-expansion-wave1-001,artifacts/composition-expansion-wave1/composition-expansion-wave1.json,02bf53c039611f2faa2712fa69c8ef6885d1fcf2da408283be0b04aba7c122a7,empty_mount_architectural_detail,ref-w1-b01-s02-wood-joints,"[""ref-w1-b01-s02-beam-junction""]","[""ref-w1-b01-s02-wood-joints"",""ref-w1-b01-s02-beam-junction""]","[""3258615d9b6b28e22ed5d0510f74f135e78953557735d0d6d42e47d122ddf2de"",""05aacc6386c240e2174bd717e90342fec23e1b5fbdf092965495109d00f81e56""]",撤去された鐘、撤去工具、撤去理由の証明、winter curfewの再現を描かない。,この幕の参照を後続の反復へ渡す。
3,shot-b01-03,1,bridge-storyboard-beat-1-bellless-tower,00:14,00:20,6,空枠と正午標,空のアーチ状フレームを大きく保持し、正午を示す小さな標だけを端に添える。,未解決の問いへ止める,medium,locked,held_fade,uncertainty_cool,medium / locked,空のフレームを先に読み、正午標は二次情報に留まる。,音源、幽霊、機械、ロープ、操作者、エネルギー、修辞的な問い見出しを描かない。,fff-composition-expansion-wave1-001,artifacts/composition-expansion-wave1/composition-expansion-wave1.json,02bf53c039611f2faa2712fa69c8ef6885d1fcf2da408283be0b04aba7c122a7,unresolved_frame_noon_hold,ref-w1-b01-s03-belfry-interior-art,"[""ref-w1-b01-s03-noon-mark""]","[""ref-w1-b01-s03-belfry-interior-art"",""ref-w1-b01-s03-noon-mark""]","[""39602c0536b46c3f0868e2f4b9661c5e1bb1a4d67f70ca1fcdfecb9355c5d91b"",""1c68f99c68f85869e461a832498d6485994c94a28c04effefaf47964b1447f62""]",音源、幽霊、機械、ロープ、操作者、エネルギー、修辞的な問い見出しを描かない。,この幕の参照を後続の反復へ渡す。
4,shot-b02-01,2,bridge-storyboard-beat-2-brass-moth,00:20,00:30,10,時計修理台の手元,画面の約3分の2を手元で満たし、顔と全身を切る。右奥の作業灯と部品は環境の密度だけを補う。,精密作業の緊張と、ミラの職能を人物デザインより先に置く。,close,slow_pan,hard_cut,paper_neutral,Close / Slow pan / 手元の高さ,最初の一秒で指先と工具へ視線が集まり、人物の顔が主題にならない。,final character designではない。,fff-beat2-composition-board-001,artifacts/beat2-composition-board/beat2-composition-board.json,87e3cf5038e76a100cf489759b648817c12acd35f2a51f930984d8e18f00dea0,image_based_overlay,ref-b02-s01-precision-handwork,"[""ref-b02-s01-watch-repair-workbench""]","[""ref-b02-s01-precision-handwork"",""ref-b02-s01-watch-repair-workbench""]","[""42e1d3963eeab95679858889f85c4b60e348efaaa36ef4ca1c6fd103768b4a33"",""207933084e53ee608c9d4f29de795ab2915f3d4cddc4612d99b1db452cf3e258""]",final character designではない。,この幕の参照を後続の反復へ渡す。
5,shot-b02-02,2,bridge-storyboard-beat-2-brass-moth,00:30,00:40,10,メモと静止した蛾,メモを左側約3分の2、蛾を右下約3分の1に置く俯瞰。二つの間に指一本分の暗い余白を残す。,紙と金属を一対の手がかりとして並べ、蛾を静止物のまま扱う。,close,locked,match_cut,brass_accent,Close / Locked / 真上から5度以内,メモと蛾を同時に把握でき、発光、羽ばたき、作動の印象がない。,蛾を作動させず、機能を示さない。,fff-beat2-composition-board-001,artifacts/beat2-composition-board/beat2-composition-board.json,87e3cf5038e76a100cf489759b648817c12acd35f2a51f930984d8e18f00dea0,image_based_overlay,ref-b02-s02-aged-handwritten-letter,"[""ref-b02-s02-metal-butterfly-brooch""]","[""ref-b02-s02-aged-handwritten-letter"",""ref-b02-s02-metal-butterfly-brooch""]","[""6b98a5fa94c40acac31e266decd75d9ae31f3b7cf5a59802bcf7408abbd7671b"",""ac4df2e88ff0834f6a6695b3fa72737d75e5dbec78a177c9056c3b8a0e3376b9""]",蛾を作動させず、機能を示さない。,この幕の参照を後続の反復へ渡す。
6,shot-b02-03,2,bridge-storyboard-beat-2-brass-moth,00:40,00:50,10,9:17と蛾の反復,時計面を画面外まで拡大し、右下に蛾の翅、背面に真鍮の反射を薄く重ねる。表示指定は9:17、主参照の針は9:15。,時刻と蛾を二つの反復モチーフとして分離し、因果や時計停止を示さない。,extreme_close,controlled_parallax,graphic_match,brass_accent,Extreme close / Controlled parallax / 二段焦点,9:17と蛾が別焦点に見え、時計が止まった事実や蛾の機能を断定しない。,9:17は閉店時刻のmotifであり、時計停止の確定事実にはしない。,fff-beat2-composition-board-001,artifacts/beat2-composition-board/beat2-composition-board.json,87e3cf5038e76a100cf489759b648817c12acd35f2a51f930984d8e18f00dea0,image_based_overlay,ref-b02-s03-vintage-watch-0915,"[""ref-b02-s02-metal-butterfly-brooch"",""ref-b02-s03-brass-clock-dial""]","[""ref-b02-s03-vintage-watch-0915"",""ref-b02-s02-metal-butterfly-brooch"",""ref-b02-s03-brass-clock-dial""]","[""80abb1498c2e38ad6f5e0c3dc4b44b0b61729b5db4e68db0ddc050c70c7a2082"",""ac4df2e88ff0834f6a6695b3fa72737d75e5dbec78a177c9056c3b8a0e3376b9"",""acc9849b02b769616e7218aba0d2740cabe6030ee1e7178f9d012bffa21d45a3""]",9:17は閉店時刻のmotifであり、時計停止の確定事実にはしない。,この幕の参照を後続の反復へ渡す。
7,shot-b03-01,3,bridge-storyboard-beat-3-erased-names,00:50,01:00,10,台帳を開く手元,顔や所属のない手、めくられる紙、机面だけで台帳を開く動作を示す。列の内容はまだ読ませない。,調査対象の台帳を開く,close,slow_push,hard_cut,paper_neutral,close / slow_push,台帳が開かれる動きが先に読め、列は未同定のまま残る。,評議会印の証明、歴史的真正性、所有者、有罪、実在記録の内容を描かない。,fff-composition-expansion-wave1-001,artifacts/composition-expansion-wave1/composition-expansion-wave1.json,02bf53c039611f2faa2712fa69c8ef6885d1fcf2da408283be0b04aba7c122a7,anonymous_ledger_opening_insert,ref-w1-b03-s01-page-turning,"[""ref-w1-b03-s01-book-in-hand""]","[""ref-w1-b03-s01-page-turning"",""ref-w1-b03-s01-book-in-hand""]","[""d846f48b836c604cbbf913ad7b37700926a362bc657dc7a4df8b1b204dfb9f13"",""6fc36da6028effe9a402f18efabeeef970e6511f4023156994aa5dcf5aad681a""]",評議会印の証明、歴史的真正性、所有者、有罪、実在記録の内容を描かない。,この幕の参照を後続の反復へ渡す。
8,shot-b03-02,3,bridge-storyboard-beat-3-erased-names,01:00,01:10,10,架空の二列台帳,制作した架空の見開きに「名前」と「分」の二列を置き、架空の置換文字を並べる。関係は並置に留める。,名前と分の関係を可視化する,graphic_fullframe,locked,graphic_match,uncertainty_cool,graphic_fullframe / locked,名前列と分列が同じ重さで読め、関係は示唆に留まる。,実名、実在記録、チェック、判決、証拠印、紋章、確認済み因果矢印を描かない。,fff-composition-expansion-wave1-001,artifacts/composition-expansion-wave1/composition-expansion-wave1.json,02bf53c039611f2faa2712fa69c8ef6885d1fcf2da408283be0b04aba7c122a7,fictional_ledger_relation_graphic,ref-w1-b03-s02-blank-book,"[""ref-w1-b03-s02-ledger-geometry""]","[""ref-w1-b03-s02-blank-book"",""ref-w1-b03-s02-ledger-geometry""]","[""312ac0465762b21dd1d67504d7dcaee074c94f73d7281f5adeb16fed618343a4"",""ccbb058ad17576dd5d69329b67137947a3dfcc218672394d97f1bc4234e6ff88""]",実名、実在記録、チェック、判決、証拠印、紋章、確認済み因果矢印を描かない。,この幕の参照を後続の反復へ渡す。
9,shot-b03-03,3,bridge-storyboard-beat-3-erased-names,01:10,01:20,10,輪郭が薄れる三段階,制作した架空の名前輪郭を三つの段階に分け、完全な輪郭、薄い輪郭、欠けた輪郭へ移す。人物消失や文書証拠には接続しない。,記録欠落の感覚を作る,graphic_fullframe,graphic_dissolve,short_dissolve,uncertainty_cool,graphic_fullframe / graphic_dissolve,完全な輪郭から薄れ・欠けへの2–3段階が読め、欠落感だけが残る。,超自然的な行為者、人物の消失、literalな台帳改竄の証明、実在人物名を描かない。,fff-composition-expansion-wave1-001,artifacts/composition-expansion-wave1/composition-expansion-wave1.json,02bf53c039611f2faa2712fa69c8ef6885d1fcf2da408283be0b04aba7c122a7,staged_record_fade_metaphor,ref-w1-b03-s03-old-paper,"[""ref-w1-b03-s03-ink-stains""]","[""ref-w1-b03-s03-old-paper"",""ref-w1-b03-s03-ink-stains""]","[""de3156d47386e17242543e6292093ac0eeba4b6079fb735b0da51423fa9b3624"",""96350f03a1bc118e3108284ca43edc84a01e83f23686707f58854ffe939bc0a4""]",超自然的な行為者、人物の消失、literalな台帳改竄の証明、実在人物名を描かない。,この幕の参照を後続の反復へ渡す。
10,shot-b04-01,4,bridge-storyboard-beat-4-council-shadow,01:20,01:28,8,仕切りの向こう,半透明の仕切り越しに中立的な匿名シルエットを置く。,制度側の存在だけを示す,wide,slow_push,hard_cut,midnight_base,wide / slow_push,最初に二つの匿名影が読め、個人、役職、感情、加害性を特定できない。,実在の会議参加者を物語上の評議会員として扱わず、仕草や表情から有罪を示さない。,fff-beat4-composition-counterexample-001,artifacts/beat4-composition-counterexample/beat4-composition-counterexample.json,6d0f886178ed18b841a96f87fe54e3f03c3ad19236fd5ab6b37bb5676fb71a2d,anonymous_institutional_depth,ref-b04-s01-conference-backs,"[""ref-b04-s01-frosted-partition""]","[""ref-b04-s01-conference-backs"",""ref-b04-s01-frosted-partition""]","[""79e17d1982c6d217063d34d1479606f8a586c6e4b8b001167e3647ce2d4b1962"",""f55ecaa635f09cd4b203fc97775ef049f42bb3a0004a24ab1c2385438685fffb""]",有罪の演技、個人特定、単純な悪役化を避ける。,この幕の参照を後続の反復へ渡す。
11,shot-b04-02,4,bridge-storyboard-beat-4-council-shadow,01:28,01:36,8,同じ重さの二説,「時間販売の告発？」と「偽の記録？」を同じ重さで並べる。,矛盾する二説を並置する,graphic_fullframe,locked,graphic_match,warning_rust,graphic_fullframe / locked,二つの見出しと参照面が同じ面積、文字サイズ、色、コントラストで見え、勝者を示さない。,二つは未確定の仮説であり、実在資料を告発や偽造の証拠として扱わない。,fff-beat4-composition-counterexample-001,artifacts/beat4-composition-counterexample/beat4-composition-counterexample.json,6d0f886178ed18b841a96f87fe54e3f03c3ad19236fd5ab6b37bb5676fb71a2d,equal_weight_abstract_comparison,ref-b04-s02-card-catalogue,"[""ref-b04-s02-time-recorder"",""ref-b04-shared-general-ledger""]","[""ref-b04-s02-card-catalogue"",""ref-b04-s02-time-recorder"",""ref-b04-shared-general-ledger""]","[""23aaf60edcd0880b63e5c98eed29a2ea46fddf0c5e3e8ab17c3e948cfcae5822"",""ea2732ff8205541eed60050129020ba94c6202d868d77eca90972d6792411127"",""74d83e8fbad303bf4a08c86e72c02746c678a95e56c0f69814c6c853dd7feaab""]",どちらの仮説も勝たせない。,この幕の参照を後続の反復へ渡す。
12,shot-b04-03,4,bridge-storyboard-beat-4-council-shadow,01:36,01:45,9,閉じた部屋と台帳,台帳の影と閉じた制度空間に「MOTIVE UNKNOWN」を小さく表示する。,動機不明のまま緊張を渡す,medium,slow_pull,held_fade,midnight_base,medium / slow_pull,台帳の影と閉じた部屋が別の層として読め、小さな表示が動機未定を補助する。,台帳を犯罪証拠にせず、評議会の動機、責任、記録の真正を確定しない。,fff-beat4-composition-counterexample-001,artifacts/beat4-composition-counterexample/beat4-composition-counterexample.json,6d0f886178ed18b841a96f87fe54e3f03c3ad19236fd5ab6b37bb5676fb71a2d,environment_plus_document_tension,ref-b04-s03-closed-meeting-room,"[""ref-b04-shared-general-ledger""]","[""ref-b04-s03-closed-meeting-room"",""ref-b04-shared-general-ledger""]","[""e6f06540dba924ccd3c5aaa38fa3f676f489335762b61dd7ecbcca69da196ca9"",""74d83e8fbad303bf4a08c86e72c02746c678a95e56c0f69814c6c853dd7feaab""]",動機と責任範囲を未決定のまま保つ。,この幕の参照を後続の反復へ渡す。
13,shot-b05-01,5,bridge-storyboard-beat-5-held-answers,01:45,01:58,13,未確定のトーマ候補,左30%に人物、右70%に四つの同寸候補面を2×2で置く。,トーマの複数の運命を保留する,medium,slow_pan,hard_cut,uncertainty_cool,medium / slow_pan,人物と四候補が一組に見え、人物がどの候補内にも入らない。,生死・消失・潜伏の証拠、最終人物デザイン、選択表示を置かない。,fff-composition-expansion-wave2-001,artifacts/composition-expansion-wave2/composition-expansion-wave2.json,eb53fd8400bc19eee99ccd70bf6d250be9b92248d209a0135bf7a6d743d9a23c,uncertain_person_fate_matrix,ref-w2-b05-s01-horizon-silhouette,"[""ref-w2-b05-fate-blank-card""]","[""ref-w2-b05-s01-horizon-silhouette"",""ref-w2-b05-fate-blank-card""]","[""2f5cbd4befae47efb0b44a35a901221dfc101ff2b027daee1b9c92575f4492a7"",""c970d41f104ddb5a7ebcda6348cd1018dc979101329d51cb5f303c64a49ce802""]",生死・消失・潜伏の証拠、最終人物デザイン、選択表示を置かない。,先行する人物・対象物・制度の参照を同一IDで継ぐ。
14,shot-b05-02,5,bridge-storyboard-beat-5-held-answers,01:58,02:11,13,真鍮の蛾と機能候補,蛾を中央の独立円に置き、鍵・監視・記憶を下段の同寸三面へ置く。,蛾の機能候補を分離する,close,controlled_parallax,match_cut,brass_accent,close / controlled_parallax,蛾と三候補が別レイヤーに見え、接続線がない。,羽ばたき、発光、開口、鍵穴、監視レンズ、記憶投影、正解表示を置かない。,fff-composition-expansion-wave2-001,artifacts/composition-expansion-wave2/composition-expansion-wave2.json,eb53fd8400bc19eee99ccd70bf6d250be9b92248d209a0135bf7a6d743d9a23c,static_object_function_triad,ref-b02-s02-metal-butterfly-brooch,"[""ref-w2-b05-s02-brass-plate""]","[""ref-b02-s02-metal-butterfly-brooch"",""ref-w2-b05-s02-brass-plate""]","[""ac4df2e88ff0834f6a6695b3fa72737d75e5dbec78a177c9056c3b8a0e3376b9"",""d9d8146351e2db5b42dc7c39c4609399aa8039cfa68387722f591f833369ae39""]",羽ばたき、発光、開口、鍵穴、監視レンズ、記憶投影、正解表示を置かない。,先行する人物・対象物・制度の参照を同一IDで継ぐ。
15,shot-b05-03,5,bridge-storyboard-beat-5-held-answers,02:11,02:23,12,評議会の動機候補,制度像を低コントラスト背景にし、四候補を同寸2×2で前面配置する。,評議会の動機候補を保留する,graphic_fullframe,locked,graphic_match,warning_rust,graphic_fullframe / locked,四面の面積・見出し・コントラスト・彩度・枠・画像量が等しい。,実在の役職者、有罪、逮捕、裁判、不祥事、悪役照明を置かない。,fff-composition-expansion-wave2-001,artifacts/composition-expansion-wave2/composition-expansion-wave2.json,eb53fd8400bc19eee99ccd70bf6d250be9b92248d209a0135bf7a6d743d9a23c,institutional_motive_quadrant,ref-b04-s02-card-catalogue,"[""ref-b04-s03-closed-meeting-room""]","[""ref-b04-s02-card-catalogue"",""ref-b04-s03-closed-meeting-room""]","[""23aaf60edcd0880b63e5c98eed29a2ea46fddf0c5e3e8ab17c3e948cfcae5822"",""e6f06540dba924ccd3c5aaa38fa3f676f489335762b61dd7ecbcca69da196ca9""]",実在の役職者、有罪、逮捕、裁判、不祥事、悪役照明を置かない。,先行する人物・対象物・制度の参照を同一IDで継ぐ。
16,shot-b05-04,5,bridge-storyboard-beat-5-held-answers,02:23,02:35,12,三つの未解決事項,三clusterを横一列に同寸配置し、中央clusterを拡大しない。,三つの問いをHOLDへ戻す,graphic_fullframe,graphic_dissolve,held_fade,text_high_contrast,graphic_fullframe / graphic_dissolve,三clusterの面積と強調差が許容範囲内で、静止終端が中立。,解決語、選択状態、物語上の判決、内部運用語を表示しない。,fff-composition-expansion-wave2-001,artifacts/composition-expansion-wave2/composition-expansion-wave2.json,eb53fd8400bc19eee99ccd70bf6d250be9b92248d209a0135bf7a6d743d9a23c,three_question_unresolved_return,ref-w2-b05-s01-horizon-silhouette,"[""ref-b02-s02-metal-butterfly-brooch"",""ref-b04-s03-closed-meeting-room""]","[""ref-w2-b05-s01-horizon-silhouette"",""ref-b02-s02-metal-butterfly-brooch"",""ref-b04-s03-closed-meeting-room""]","[""2f5cbd4befae47efb0b44a35a901221dfc101ff2b027daee1b9c92575f4492a7"",""ac4df2e88ff0834f6a6695b3fa72737d75e5dbec78a177c9056c3b8a0e3376b9"",""e6f06540dba924ccd3c5aaa38fa3f676f489335762b61dd7ecbcca69da196ca9""]",解決語、選択状態、物語上の判決、内部運用語を表示しない。,先行する人物・対象物・制度の参照を同一IDで継ぐ。
17,shot-b06-01,6,bridge-storyboard-beat-6-time-or-names,02:35,02:44,9,時間と名前,左右を50:50にし、中央8%を意図的な空白として除外する。,終幕の二択を置く,graphic_fullframe,locked,hard_cut,uncertainty_cool,graphic_fullframe / locked,左右面積と見出しが等しく、中央に明確な無地gapがある。,人物、指針、手、強調枠、片側への移動を置かない。,fff-composition-expansion-wave2-001,artifacts/composition-expansion-wave2/composition-expansion-wave2.json,eb53fd8400bc19eee99ccd70bf6d250be9b92248d209a0135bf7a6d743d9a23c,time_vs_name_equal_split,ref-b02-s03-vintage-watch-0915,"[""ref-w1-b03-s02-blank-book""]","[""ref-b02-s03-vintage-watch-0915"",""ref-w1-b03-s02-blank-book""]","[""80abb1498c2e38ad6f5e0c3dc4b44b0b61729b5db4e68db0ddc050c70c7a2082"",""312ac0465762b21dd1d67504d7dcaee074c94f73d7281f5adeb16fed618343a4""]",人物、指針、手、強調枠、片側への移動を置かない。,時計と台帳の参照を終幕の対へ継ぐ。
18,shot-b06-02,6,bridge-storyboard-beat-6-time-or-names,02:44,02:52,8,未記入欄を残す台帳,左上の空欄本を第一焦点、右下の閉じたページ端を第二焦点として斜めに重ねる。,結論を書かずに台帳を閉じる,close,slow_pull,graphic_match,paper_neutral,close / slow_pull,最初に空欄、次にページ端が読め、文字内容が読めない。,実名、公文書、記入済み回答、回復名簿、消失証拠を置かない。,fff-composition-expansion-wave2-001,artifacts/composition-expansion-wave2/composition-expansion-wave2.json,eb53fd8400bc19eee99ccd70bf6d250be9b92248d209a0135bf7a6d743d9a23c,blank_ledger_closure,ref-w2-b06-s02-closed-book,"[""ref-w1-b03-s02-blank-book"",""ref-w1-b03-s02-ledger-geometry""]","[""ref-w2-b06-s02-closed-book"",""ref-w1-b03-s02-blank-book"",""ref-w1-b03-s02-ledger-geometry""]","[""e69f1a06db297bb537d57684cf4989615e0426eb4500c6c8cc5d7aa6bddca2ab"",""312ac0465762b21dd1d67504d7dcaee074c94f73d7281f5adeb16fed618343a4"",""ccbb058ad17576dd5d69329b67137947a3dfcc218672394d97f1bc4234e6ff88""]",実名、公文書、記入済み回答、回復名簿、消失証拠を置かない。,台帳の空欄と列を閉じた本へ継ぐ。
19,shot-b06-03,6,bridge-storyboard-beat-6-time-or-names,02:52,03:00,8,空の鐘枠へ戻る,塔枠を中央上、駅の奥行きを低い補助層に置き、画面下部へ終幕語を置く。,問いのまま冒頭像へ戻る,wide,slow_pull,held_fade,midnight_base,wide / slow_pull,空枠と『時間か、名前か』が読み取れ、鐘や回答がない。,鐘、鳴動原因、選択済み結末、回復した時間、返された名前を置かない。,fff-composition-expansion-wave2-001,artifacts/composition-expansion-wave2/composition-expansion-wave2.json,eb53fd8400bc19eee99ccd70bf6d250be9b92248d209a0135bf7a6d743d9a23c,bellless_tower_closing_callback,ref-w1-b01-s01-harvard-observatory,"[""ref-w1-b01-s01-kreiensen-station""]","[""ref-w1-b01-s01-harvard-observatory"",""ref-w1-b01-s01-kreiensen-station""]","[""6e1376fa2b4fa4bfffae778f1e86364b1c3baf5fe2925cd242337d76f7b33e84"",""49b3136c701d7e149194e74cac2a1c5c6dc688d6502340fce4915cec656da134""]",鐘、鳴動原因、選択済み結末、回復した時間、返された名前を置かない。,冒頭の塔と駅を同一参照で戻す。
