shot_id,sequence,beat_number,beat_id,start_time,end_time,start_seconds,end_seconds,duration_seconds,title_ja,intent_ja,camera_ja,motion,transition,narration_segment_id,subtitle_cue_ids,canonical_frame_path,canonical_frame_sha256,rendered_reference_ids,deterministic_substitution,intentional_reuse_label,source_truth_boundary
shot-b01-01,1,1,bridge-storyboard-beat-1-bellless-tower,00:00,00:07,0,7,7,駅から塔へ,矛盾の舞台を置く,wide / slow_push,slow_push,hard_cut,narration-b01,sub-b01-01,artifacts/private-previsualization-timeline/frames/shot-b01-01.jpg,a8b81d1177f3ac601851ca1cab042eefcc33f3e3593227f309ff0ad23818c8f4,ref-w1-b01-s01-kreiensen-station|ref-w1-b01-s01-harvard-observatory,,,鐘、発光、作動機械、原因を示す人物、鳴動の説明を描かない。
shot-b01-02,2,1,bridge-storyboard-beat-1-bellless-tower,00:07,00:14,7,14,7,空いた取付点,鐘がないことを確認する,close / locked,locked,short_dissolve,narration-b01,sub-b01-02,artifacts/private-previsualization-timeline/frames/shot-b01-02.jpg,fd809f20daf2fb296c5d7499eb4fdd56017c62456ef1ac54d9ab106aa2ee5cde,ref-w1-b01-s02-wood-joints|ref-w1-b01-s02-beam-junction,,,撤去された鐘、撤去工具、撤去理由の証明、winter curfewの再現を描かない。
shot-b01-03,3,1,bridge-storyboard-beat-1-bellless-tower,00:14,00:20,14,20,6,空枠と正午標,未解決の問いへ止める,medium / locked,locked,held_fade,narration-b01,sub-b01-03,artifacts/private-previsualization-timeline/frames/shot-b01-03.jpg,89ab50d51d6e9d96ac2f59478c336af9210fe3d3995f7b389abfff83dd292942,ref-w1-b01-s03-belfry-interior-art|ref-w1-b01-s03-noon-mark,,,音源、幽霊、機械、ロープ、操作者、エネルギー、修辞的な問い見出しを描かない。
shot-b02-01,4,2,bridge-storyboard-beat-2-brass-moth,00:20,00:30,20,30,10,時計修理台の手元,精密作業の緊張と、ミラの職能を人物デザインより先に置く。,Close / Slow pan / 手元の高さ,slow_pan,hard_cut,narration-b02,sub-b02-01|sub-b02-02,artifacts/private-previsualization-timeline/frames/shot-b02-01.jpg,1dd8dbf9967d597f1c9f30d37973d5f3eab7f05f344e7ab1a7a15383382a1768,ref-b02-s01-precision-handwork|ref-b02-s01-watch-repair-workbench,,,final character designではない。
shot-b02-02,5,2,bridge-storyboard-beat-2-brass-moth,00:30,00:40,30,40,10,メモと静止した蛾,紙と金属を一対の手がかりとして並べ、蛾を静止物のまま扱う。,Close / Locked / 真上から5度以内,locked,match_cut,narration-b02,sub-b02-02,artifacts/private-previsualization-timeline/frames/shot-b02-02.jpg,c1336f2a2ec2b1a9a43f6bffd20837a4983e654a44f162db3e11f70f738e5398,ref-b02-s02-aged-handwritten-letter|ref-b02-s02-metal-butterfly-brooch,,,蛾を作動させず、機能を示さない。
shot-b02-03,6,2,bridge-storyboard-beat-2-brass-moth,00:40,00:50,40,50,10,9:17と蛾の反復,時刻と蛾を二つの反復モチーフとして分離し、因果や時計停止を示さない。,Extreme close / Controlled parallax / 二段焦点,controlled_parallax,graphic_match,narration-b02,sub-b02-03,artifacts/private-previsualization-timeline/frames/shot-b02-03.jpg,eba535090d0956b331a99300356c6ccafb4fdae491bd7adcf52459527c7feb28,ref-b02-s03-vintage-watch-0915|ref-b02-s02-metal-butterfly-brooch|ref-b02-s03-brass-clock-dial,,shared motif / brass moth,9:17は閉店時刻のmotifであり、時計停止の確定事実にはしない。
shot-b03-01,7,3,bridge-storyboard-beat-3-erased-names,00:50,01:00,50,60,10,台帳を開く手元,調査対象の台帳を開く,close / slow_push,slow_push,hard_cut,narration-b03,sub-b03-01,artifacts/private-previsualization-timeline/frames/shot-b03-01.jpg,1436c941a46eefa8e531290056d67049f5b07c8cfb32e778c9eccf8b7f959f2e,ref-w1-b03-s01-page-turning|ref-w1-b03-s01-book-in-hand,,,評議会印の証明、歴史的真正性、所有者、有罪、実在記録の内容を描かない。
shot-b03-02,8,3,bridge-storyboard-beat-3-erased-names,01:00,01:10,60,70,10,架空の二列台帳,名前と分の関係を可視化する,graphic_fullframe / locked,locked,graphic_match,narration-b03,sub-b03-02,artifacts/private-previsualization-timeline/frames/shot-b03-02.jpg,6d78ed29bd84ad14804c482de911ee5be62a72fe6e6d22f330b2fbc652dcbfb8,ref-w1-b03-s02-blank-book,,,実名、実在記録、チェック、判決、証拠印、紋章、確認済み因果矢印を描かない。
shot-b03-03,9,3,bridge-storyboard-beat-3-erased-names,01:10,01:20,70,80,10,輪郭が薄れる三段階,記録欠落の感覚を作る,graphic_fullframe / graphic_dissolve,graphic_dissolve,short_dissolve,narration-b03,sub-b03-03,artifacts/private-previsualization-timeline/frames/shot-b03-03.jpg,a0bbc8b81261c34b4d7d99a271bfdc9fa48fb45d34fe166c376eb220315d2a57,ref-w1-b03-s03-old-paper,,,超自然的な行為者、人物の消失、literalな台帳改竄の証明、実在人物名を描かない。
shot-b04-01,10,4,bridge-storyboard-beat-4-council-shadow,01:20,01:28,80,88,8,仕切りの向こう,制度側の存在だけを示す,wide / slow_push,slow_push,hard_cut,narration-b04,sub-b04-01,artifacts/private-previsualization-timeline/frames/shot-b04-01.jpg,357228d56b7276fdc71ba69fa4bf755707e18f64b58e370ae105cf2de06cea53,ref-b04-s01-frosted-partition,,,有罪の演技、個人特定、単純な悪役化を避ける。
shot-b04-02,11,4,bridge-storyboard-beat-4-council-shadow,01:28,01:36,88,96,8,同じ重さの二説,矛盾する二説を並置する,graphic_fullframe / locked,locked,graphic_match,narration-b04,sub-b04-02,artifacts/private-previsualization-timeline/frames/shot-b04-02.jpg,26a317156cc606e3eebbb53ab72af1e102807f81c0baf9c24ec4431e9b7acb6c,ref-b04-s02-card-catalogue|ref-b04-s02-time-recorder,,,どちらの仮説も勝たせない。
shot-b04-03,12,4,bridge-storyboard-beat-4-council-shadow,01:36,01:45,96,105,9,閉じた部屋と台帳,動機不明のまま緊張を渡す,medium / slow_pull,slow_pull,held_fade,narration-b04,sub-b04-03,artifacts/private-previsualization-timeline/frames/shot-b04-03.jpg,aa2b247ed080e7c63b81988d18ff0aafbf455dc1f1f4e7544e3a628b96ac68a9,,ambiguous-license room and ledger references excluded,,動機と責任範囲を未決定のまま保つ。
shot-b05-01,13,5,bridge-storyboard-beat-5-held-answers,01:45,01:58,105,118,13,未確定のトーマ候補,トーマの複数の運命を保留する,medium / slow_pan,slow_pan,hard_cut,narration-b05,sub-b05-01|sub-b05-02,artifacts/private-previsualization-timeline/frames/shot-b05-01.jpg,1cccb3416f0fdc16962291fc4aca59aabf73bbc14b7bd9628140120c1dced300,,neutral local silhouette replaces identifiable-person proxy,,生死・消失・潜伏の証拠、最終人物デザイン、選択表示を置かない。
shot-b05-02,14,5,bridge-storyboard-beat-5-held-answers,01:58,02:11,118,131,13,真鍮の蛾と機能候補,蛾の機能候補を分離する,close / controlled_parallax,controlled_parallax,match_cut,narration-b05,sub-b05-02|sub-b05-03,artifacts/private-previsualization-timeline/frames/shot-b05-02.jpg,145b65c041f70dfd696cecbb7479c90872e9c2152b2dd1a7e388dbf730dc68de,ref-b02-s02-metal-butterfly-brooch|ref-w2-b05-s02-brass-plate,,callback / brass moth,羽ばたき、発光、開口、鍵穴、監視レンズ、記憶投影、正解表示を置かない。
shot-b05-03,15,5,bridge-storyboard-beat-5-held-answers,02:11,02:23,131,143,12,評議会の動機候補,評議会の動機候補を保留する,graphic_fullframe / locked,locked,graphic_match,narration-b05,sub-b05-03|sub-b05-04,artifacts/private-previsualization-timeline/frames/shot-b05-03.jpg,c0d381d58288bc29a2579d1ff2af2939ea74ae34e2b67eb2890d6f728e8bf885,ref-b04-s02-card-catalogue,ambiguous-license meeting-room reference excluded,,実在の役職者、有罪、逮捕、裁判、不祥事、悪役照明を置かない。
shot-b05-04,16,5,bridge-storyboard-beat-5-held-answers,02:23,02:35,143,155,12,三つの未解決事項,三つの問いをHOLDへ戻す,graphic_fullframe / graphic_dissolve,graphic_dissolve,held_fade,narration-b05,sub-b05-04|sub-b05-05,artifacts/private-previsualization-timeline/frames/shot-b05-04.jpg,7e91cdd4922d63ffbbc18e96cb708981148efc9cdb7a85fc340f5f00bd4e1f76,ref-b02-s02-metal-butterfly-brooch,,callback / three unresolved motifs,解決語、選択状態、物語上の判決、内部運用語を表示しない。
shot-b06-01,17,6,bridge-storyboard-beat-6-time-or-names,02:35,02:44,155,164,9,時間と名前,終幕の二択を置く,graphic_fullframe / locked,locked,hard_cut,narration-b06,sub-b06-01,artifacts/private-previsualization-timeline/frames/shot-b06-01.jpg,f2c1d9e92479c8f68eeaaa015358f9e7d0d14346e6877c0a0ac2d4fe2a1dc696,ref-b02-s03-vintage-watch-0915|ref-w1-b03-s02-blank-book,,shared motif / time and ledger,人物、指針、手、強調枠、片側への移動を置かない。
shot-b06-02,18,6,bridge-storyboard-beat-6-time-or-names,02:44,02:52,164,172,8,未記入欄を残す台帳,結論を書かずに台帳を閉じる,close / slow_pull,slow_pull,graphic_match,narration-b06,sub-b06-02,artifacts/private-previsualization-timeline/frames/shot-b06-02.jpg,8db31be626f889e61a2c8758c3e817abee5994e783770fa5a5c88d548f34f978,ref-w2-b06-s02-closed-book|ref-w1-b03-s02-blank-book,,,実名、公文書、記入済み回答、回復名簿、消失証拠を置かない。
shot-b06-03,19,6,bridge-storyboard-beat-6-time-or-names,02:52,03:00,172,180,8,空の鐘枠へ戻る,問いのまま冒頭像へ戻る,wide / slow_pull,slow_pull,held_fade,narration-b06,sub-b06-03,artifacts/private-previsualization-timeline/frames/shot-b06-03.jpg,2dbf054989b70a377393eab8d43189939c68c7cee6bf3e5fe5069e922ec49f02,ref-w1-b01-s01-harvard-observatory|ref-w1-b01-s01-kreiensen-station,,callback / opening tower composition,鐘、鳴動原因、選択済み結末、回復した時間、返された名前を置かない。
